car_speed,ray_dist_0,ray_type_0,ray_dist_1,ray_type_1,ray_dist_2,ray_type_2,ray_dist_3,ray_type_3,ray_dist_4,ray_type_4,ray_dist_5,ray_type_5,ray_dist_6,ray_type_6,ray_dist_7,ray_type_7,ray_dist_8,ray_type_8,ray_dist_9,ray_type_9,ray_dist_10,ray_type_10,ray_dist_11,ray_type_11,ray_dist_12,ray_type_12,ray_dist_13,ray_type_13,ray_dist_14,ray_type_14,ray_dist_15,ray_type_15,ray_dist_16,ray_type_16,ray_dist_17,ray_type_17,ray_dist_18,ray_type_18,ray_dist_19,ray_type_19,accelerate,brake,steer_left,steer_right
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,0,0,0,0
0,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.125,0,1000,-1,233.412,0,241.634,0,272.252,0,228.446,0,202.073,0,177.7,0,164.907,0,112.803,0,107.635,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.1,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,425.025,0,1000,-1,233.326,0,241.512,0,272.252,0,228.446,0,202.073,0,177.7,0,165.062,0,112.909,0,107.737,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.1995,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,424.826,0,1000,-1,233.154,0,241.269,0,272.252,0,228.446,0,202.073,0,177.7,0,165.373,0,113.122,0,107.939,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.298503,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,424.527,0,1000,-1,232.897,0,240.907,0,272.252,0,228.446,0,202.073,0,177.7,0,165.837,0,113.439,0,108.242,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.39701,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,424.13,0,1000,-1,232.555,0,240.425,0,272.252,0,228.446,0,202.073,0,177.7,0,166.454,0,113.862,0,108.645,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.495025,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,423.635,0,1000,-1,232.13,0,239.827,0,272.252,0,228.446,0,202.073,0,177.7,0,167.225,0,114.388,0,109.148,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.59255,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,423.043,0,1000,-1,231.621,0,239.112,0,272.252,0,228.446,0,202.073,0,177.7,0,168.146,0,115.019,0,109.75,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.689587,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,422.353,0,1000,-1,231.029,0,238.284,0,272.252,0,228.446,0,202.073,0,177.7,0,169.219,0,115.753,0,110.45,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.786139,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,421.567,0,1000,-1,230.356,0,237.344,0,272.252,0,228.446,0,202.073,0,177.7,0,170.442,0,116.589,0,111.248,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.882209,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,420.685,0,1000,-1,229.603,0,236.293,0,272.252,0,228.446,0,202.073,0,177.7,0,171.815,0,117.528,0,112.144,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
0.977798,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,419.707,0,1000,-1,228.769,0,235.135,0,272.252,0,228.446,0,202.073,0,177.7,0,173.336,0,118.569,0,113.137,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
